centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
01alSAL_2,5557937.234,6042770.269,,18,,,-11,-8,-18,-8,,,,-11,42,,,,,,,,
01alSAL_3,5574958.769,6069462.157,,16,,,-13,-9,-19,-9,,,,-13,40,,,,,,,,
01alSAL_4,5596184.196,6031391.964,,17,,,-12,-8,-18,-9,,,,-11,41,,,,,,,,
01alSAL_5,5465912.149,6022023.497,,21,,,-9,-5,-16,-5,,,,-6,44,,,,,,,,
01alSAL_6,5477340.99,5989452.023,,12,,,-16,-12,-23,-13,,,,-13,36,,,,,,,,
01baABB_1,5648942.746,6075774.742,,-46,,,-67,-66,-70,-65,,,,-66,-10,,,,,,,,
01baABB_2,5673705.58,6066855.013,,-45,,,-67,-65,-70,-65,,,,-66,-9,,,,,,,,
01baABB_3,5716455.714,6062699.931,,-45,,,-67,-65,-70,-65,,,,-65,-9,,,,,,,,
01baAYA_1,5516369.234,5958944.135,-25,,,,-46,-53,-56,-37,,,,-50,,9,,,,,,,
01baAYA_10,5636107.728,5856077.09,3,,,,-25,-35,-41,-13,,,,-32,,41,,,,,,,
01baAYA_11,5656665.503,5836227.229,4,,,,-25,-34,-41,-12,,,,-31,,42,,,,,,,
01baAYA_12,5687694.842,5856030.551,9,,,,-21,-31,-38,-9,,,,-27,,46,,,,,,,
01baAYA_2,5600256.994,5923192.201,-15,,,,-40,-48,-53,-29,,,,-45,,24,,,,,,,
01baAYA_3,5649259.152,5946946.056,-30,,,,-50,-56,-59,-41,,,,-56,,2,,,,,,,
01baAYA_4,5670491.442,5917449.697,-26,,,,-48,-54,-58,-38,,,,-54,,8,,,,,,,
01baAYA_5,5680513.766,5962002.219,-29,,,,-49,-55,-59,-40,,,,-55,,4,,,,,,,
01baAYA_6,5693119.678,5932060.24,-28,,,,-49,-55,-59,-39,,,,-55,,6,,,,,,,
01baAYA_7,5614534.794,5892648.016,-14,,,,-40,-48,-52,-29,,,,-45,,25,,,,,,,
01baAYA_8,5653319.878,5888580.839,-5,,,,-32,-41,-46,-20,,,,-38,,33,,,,,,,
01baAYA_9,5695228.844,5873153.194,5,,,,-24,-34,-40,-11,,,,-30,,43,,,,,,,
01baAZU_1,5570650.121,5801715.503,15,,,,-16,-27,-34,-2,,,,-22,,56,,,,,,,
